Gyroscope self-test executed 1000 times, average result taken for each axis. (Success under 14)




X = 1.08871 :  Y = -3.57905 :  Z = 2.0662
X = 3.51497 :  Y = -0.585663 :  Z = 1.80496
X = 3.70161 :  Y = -0.992373 :  Z = 1.84058
X = 1.8508 :  Y = -2.60295 :  Z = 2.37494
X = 1.78859 :  Y = -3.00966 :  Z = 2.50557
X = 3.54608 :  Y = -0.894763 :  Z = 2.07808
X = 1.8197 :  Y = -3.25368 :  Z = 2.23245
X = 3.62384 :  Y = -0.813421 :  Z = 1.78121
X = 1.38421 :  Y = -3.17234 :  Z = 2.04245
X = 1.52419 :  Y = -3.23741 :  Z = 2.1137
X = 2.92396 :  Y = -1.18759 :  Z = 1.95933
X = 1.322 :  Y = -2.99339 :  Z = 2.67181
X = 2.03744 :  Y = -3.07473 :  Z = 2.63619
X = 3.45276 :  Y = -0.390442 :  Z = 2.33932
X = 1.8508 :  Y = -3.18861 :  Z = 2.37494
X = 2.17742 :  Y = -2.84697 :  Z = 2.88556
X = 2.65956 :  Y = -2.00101 :  Z = 0.914353
X = 0.15553 :  Y = -3.49771 :  Z = 2.60056
X = 3.43721 :  Y = -0.276563 :  Z = 2.05433
X = 3.49942 :  Y = -0.71581 :  Z = 2.43432
X = 1.61751 :  Y = -3.31876 :  Z = 2.26807
X = 2.02189 :  Y = -2.86324 :  Z = 2.19682
X = 3.48387 :  Y = -0.585663 :  Z = 2.17307
X = 1.2909 :  Y = -2.7819 :  Z = 2.42244
X = 3.91935 :  Y = -0.569394 :  Z = 1.89995
X = 3.12615 :  Y = -0.862226 :  Z = 1.84058
X = 1.61751 :  Y = -2.86324 :  Z = 2.2087
X = 1.92857 :  Y = -2.87951 :  Z = 2.19682
X = 2.55069 :  Y = -2.63548 :  Z = 0.391866
X = 0.41993 :  Y = -3.69293 :  Z = 2.73119
X = 0.342165 :  Y = -3.67666 :  Z = 0.356242
X = 1.99078 :  Y = -3.15607 :  Z = 2.62431
X = 3.25057 :  Y = -1.52923 :  Z = 1.16372
X = 3.09504 :  Y = -0.748347 :  Z = 2.24432
X = 1.5864 :  Y = -2.8307 :  Z = 2.84993
X = 3.54608 :  Y = -0.601931 :  Z = 1.84058
X = 3.17281 :  Y = -1.57804 :  Z = 1.88808
X = 1.18203 :  Y = -2.63548 :  Z = 2.48182
X = 3.60829 :  Y = -0.683273 :  Z = 2.42244
X = 2.44182 :  Y = -1.61057 :  Z = 0.534362
X = 3.68605 :  Y = -0.113879 :  Z = 2.51744
X = 2.19297 :  Y = -2.76563 :  Z = 2.61244
X = 3.4061 :  Y = -0.390442 :  Z = 1.98308
X = 3.68605 :  Y = -0.146416 :  Z = 2.51744
X = 1.66417 :  Y = -3.56278 :  Z = 2.90931
X = 3.48387 :  Y = -0.797152 :  Z = 2.12557
X = 3.95046 :  Y = -0.325368 :  Z = 2.14932
X = 2.25518 :  Y = -2.63548 :  Z = 2.46994
